pure el-ph coupling,bipolaron el-ph coupling,AFM fluctuation,FM fluctuation,charge density wave,nematic fluctuation,plasmon fluctuation,pure el correlation,spin liquid el correlation,id,n_paraphrases
0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,pub.1124436034,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1004332925,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1023745412,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1048898662,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1059113085,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1048231159,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1040770482,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1005191921,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,pub.1132472648,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1060580759,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1060526366,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1036672619,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1021269295,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1052927928,1
0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,pub.1060593291,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1157670532,1
5.0,0.0,1.0,1.0,5.0,0.0,0.0,2.0,0.0,pub.1016609788,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1057680738,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1145023505,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1085445133,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1055147480,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1030436107,1
0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,pub.1060825048,1
0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,pub.1034854319,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1060546635,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1061196893,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1060557337,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1050602337,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1036140196,1
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1060556044,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1154343973,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,pub.1000072260,1
0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,pub.1136992055,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1049851148,1
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1060629323,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1101547463,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1026717985,1
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1083739280,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1144369358,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1147659322,1
0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,pub.1182835150,1
3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,pub.1060786245,1
0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1029405800,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1010483000,1
0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,pub.1043660958,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1060699465,1
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1024375078,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1121400800,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,pub.1084125976,1
0.0,0.0,5.0,0.0,0.0,5.0,0.0,3.0,0.0,pub.1036864469,1
